ID,Timestamp,OrientationX,OrientationY,OrientationZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,PositionX,PositionY,PositionZ,VelocityX,VelocityY,VelocityZ,AccelerationX,AccelerationY,AccelerationZ,Barometer,Thermometer,ThermometerStupido,Voltage
9,3.342312,0.18,179.93,0.74,0.36,0.07,-0.01,0.05,-0.25,-0.02,0.14,-0.65,-0.05,0.04,-0.2,-0.02,98982.0,0.0,0.0,0.0
9,3.342312,0.18,179.93,0.74,0.36,0.07,-0.01,0.05,-0.25,-0.02,0.14,-0.65,-0.05,0.04,-0.2,-0.02,98982.0,0.0,0.0,0.0
8,3.016312,-0.59,179.94,-2.87,-0.2,0.18,0.07,0.01,-0.06,-0.01,0.09,-0.42,-0.04,0.23,-1.23,-0.06,98982.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3.679312,0.12,179.92,0.03,-2.47,0.15,0.52,0.1,-0.47,-0.04,0.14,-0.65,-0.05,0.0,-0.0,-0.01,98982.0,0.0,0.0,0.0
11,4.011312,-0.14,179.94,0.09,0.14,-0.01,0.07,0.14,-0.68,-0.05,0.14,-0.65,-0.05,0.0,-0.01,0.04,98987.0,19.55,29.07,3.7
12,4.341312,-0.22,179.95,-0.04,-0.27,-0.15,0.16,0.19,-0.89,-0.07,0.14,-0.65,-0.05,0.01,0.03,0.01,98987.0,19.55,29.07,3.7
13,4.671312,-0.08,179.96,0.18,-0.12,-0.21,0.04,0.23,-1.11,-0.09,0.14,-0.65,-0.05,-0.01,-0.01,-0.02,98987.0,19.55,29.07,3.7
14,5.005312,-0.17,179.94,0.09,0.39,0.11,-0.3,0.28,-1.32,-0.1,0.14,-0.65,-0.05,-0.01,0.0,-0.03,98986.0,19.56,32.14,3.7
15,5.346312,-0.1,179.94,-0.03,-1.33,0.08,0.17,0.33,-1.54,-0.12,0.14,-0.65,-0.05,-0.01,-0.03,0.01,98986.0,19.56,32.14,3.7
16,5.676312,0.06,179.93,-0.07,-0.1,0.04,0.25,0.37,-1.76,-0.14,0.14,-0.65,-0.05,-0.0,-0.08,0.04,98986.0,19.56,32.14,3.7
17,6.004312,-0.04,179.94,0.12,-0.03,-0.13,-0.32,0.42,-1.97,-0.15,0.14,-0.65,-0.05,0.01,-0.01,-0.01,98986.0,19.56,32.14,3.7
18,6.338312,-0.07,179.94,-0.19,-0.7,0.05,0.22,0.46,-2.18,-0.17,0.14,-0.65,-0.05,-0.02,0.02,-0.05,98987.0,19.6,32.41,3.7
19,6.679312,0.02,179.94,0.01,-1.97,0.17,0.36,0.51,-2.41,-0.19,0.14,-0.65,-0.05,-0.03,-0.02,-0.0,98987.0,19.6,32.41,3.7
20,7.008312,0.02,179.94,-0.1,-1.41,0.17,0.18,0.55,-2.62,-0.2,0.14,-0.65,-0.05,0.01,-0.02,0.01,98987.0,19.6,32.41,3.7
21,7.342312,-0.18,179.94,0.04,1.01,-0.03,-0.24,0.6,-2.83,-0.22,0.14,-0.65,-0.05,0.01,0.01,0.02,98982.0,19.62,32.48,3.7
22,7.671312,0.12,179.9,0.16,1.5,0.11,-0.24,0.64,-3.05,-0.24,0.14,-0.65,-0.05,0.01,0.04,0.0,98982.0,19.62,32.48,3.7
23,8.012312,-0.15,179.9,-0.03,-0.93,-0.03,0.15,0.69,-3.27,-0.25,0.14,-0.65,-0.05,-0.02,0.0,0.05,98982.0,19.62,32.48,3.7
24,8.345312,0.01,179.9,-0.13,-0.52,0.05,-0.08,0.74,-3.48,-0.27,0.14,-0.65,-0.05,-0.03,-0.02,-0.05,98983.0,19.64,32.44,3.7
25,8.675312,0.03,179.89,0.46,5.15,-0.22,-1.09,0.78,-3.7,-0.29,0.14,-0.65,-0.05,0.01,0.02,-0.03,98983.0,19.64,32.44,3.7
26,9.005312,0.04,179.9,0.07,-1.18,-0.09,0.36,0.83,-3.91,-0.3,0.14,-0.65,-0.05,0.01,0.0,-0.02,98983.0,19.64,32.44,3.7
27,9.346312,-0.07,179.92,-0.07,0.47,0.0,-0.17,0.87,-4.13,-0.32,0.14,-0.65,-0.05,-0.05,0.02,-0.0,98983.0,19.64,32.44,3.7
28,9.679312,-0.46,180.01,-0.15,4.14,-0.64,2.27,0.92,-4.35,-0.34,0.12,-0.65,-0.05,0.05,0.09,-0.07,98987.0,19.67,32.18,3.7
29,10.008312,-0.15,179.77,-1.24,-7.82,-1.15,-5.6,0.96,-4.56,-0.35,0.14,-0.62,-0.04,0.26,-0.23,-0.01,98987.0,19.67,32.18,3.7
30,10.338312,0.61,178.29,1.34,-11.98,16.32,-0.69,1.01,-4.78,-0.36,0.16,-0.7,0.0,-0.1,-0.06,0.19,98987.0,19.67,32.18,3.7
31,10.671312,6.05,173.74,-4.47,20.76,9.19,-25.65,1.06,-5.01,-0.36,0.14,-0.65,-0.03,0.13,0.23,-0.31,98986.0,19.7,32.62,3.7
32,11.012312,1.45,165.47,9.1,52.51,-23.4,-13.98,1.09,-5.23,-0.39,-0.01,-0.64,-0.16,-0.89,0.14,-0.76,98986.0,19.7,32.62,3.7
33,11.341312,-7.35,160.33,11.56,-29.03,-7.67,-12.41,1.11,-5.46,-0.45,0.2,-0.73,-0.19,1.51,0.2,-0.68,98986.0,19.7,32.62,3.7
34,11.675312,-2.34,155.14,8.81,20.55,-11.01,-12.91,1.22,-5.61,-0.52,0.33,-0.19,-0.04,0.75,0.77,1.93,98988.0,19.72,32.16,3.7
35,12.005312,-5.74,163.9,0.93,-21.71,-19.49,38.7,1.36,-5.6,-0.55,0.39,0.31,-0.31,-0.24,1.8,-1.26,98988.0,19.72,32.16,3.7
36,12.346312,-7.94,169.12,-11.94,-23.15,-59.7,-14.38,1.55,-5.44,-0.66,0.77,0.38,-0.3,0.5,-1.05,0.83,98988.0,19.72,32.16,3.7
37,12.676312,-22.73,165.96,-9.7,25.79,-1.95,-4.93,1.86,-5.41,-0.76,1.26,-0.11,-0.46,2.96,-1.94,-1.12,98988.0,19.72,32.16,3.7
38,13.009312,-12.73,165.02,-5.78,-37.69,1.64,33.61,2.49,-5.53,-0.95,2.4,-0.62,-0.65,1.2,-0.58,0.5,98978.0,19.75,32.58,3.7
39,13.338312,-14.02,181.08,-15.04,11.46,13.64,24.51,3.36,-5.8,-1.23,3.0,-1.17,-1.11,3.34,-3.37,-0.8,98978.0,19.75,32.58,3.7
40,13.678312,-7.73,171.1,-9.76,-8.53,5.15,-44.82,4.52,-6.37,-1.61,3.8,-2.09,-1.3,2.36,-2.7,-1.85,98978.0,19.75,32.58,3.7
41,14.011313,-11.0,160.36,-10.62,-9.03,13.73,-9.82,6.02,-7.17,-2.16,5.13,-2.76,-1.66,2.73,-1.93,1.21,98976.0,19.77,32.62,3.7
42,14.341312,-11.45,156.24,-6.69,30.44,-6.27,10.21,7.81,-8.2,-2.74,5.86,-3.46,-2.06,4.5,-2.1,-3.22,98976.0,19.77,32.62,3.7
43,14.671312,-4.21,156.7,-0.05,-7.65,18.18,-13.95,9.94,-9.43,-3.49,6.85,-3.94,-2.29,3.0,-0.6,0.4,98976.0,19.77,32.62,3.7
44,15.005312,-2.18,154.75,2.91,-4.14,-8.0,3.05,12.36,-10.81,-4.28,7.66,-4.17,-2.54,2.88,0.42,-0.78,98976.0,19.78,32.5,3.7
45,15.345312,1.1,150.93,-4.41,-11.19,-3.0,-25.52,15.04,-12.19,-5.12,7.77,-4.01,-2.35,-1.06,-0.17,0.03,98976.0,19.78,32.5,3.7
46,15.674312,-0.88,149.96,-0.43,14.64,1.07,8.62,17.59,-13.52,-5.93,7.87,-4.08,-2.58,0.42,-0.85,0.64,98976.0,19.78,32.5,3.7
47,16.004312,4.55,148.13,2.82,10.88,3.02,-6.38,20.17,-14.87,-6.75,7.71,-4.13,-2.46,0.19,0.0,-0.82,98976.0,19.78,32.5,3.7
48,16.338312,0.75,149.88,2.62,-1.64,16.2,-1.56,22.75,-16.23,-7.61,7.72,-3.97,-2.55,-0.13,0.41,1.1,98977.0,19.81,32.44,3.7
49,16.679312,1.77,150.38,-2.88,-7.2,-26.33,14.02,25.29,-17.55,-8.45,7.22,-3.77,-2.59,-0.16,-0.15,-2.09,98977.0,19.81,32.44,3.7
50,17.009312,-2.3,153.58,-1.28,-27.75,21.09,-15.03,27.66,-18.83,-9.33,7.11,-4.03,-2.56,-0.07,-0.53,0.29,98977.0,19.81,32.44,3.7
51,17.343312,-1.66,144.49,-6.96,10.9,-6.55,-24.89,30.06,-20.21,-10.2,7.36,-4.16,-2.73,1.54,0.12,-0.52,98983.0,19.84,32.56,3.7
52,17.672312,-1.58,136.82,0.74,19.98,-16.93,-9.36,32.53,-21.61,-11.06,7.49,-4.47,-2.49,1.21,-1.54,-0.6,98983.0,19.84,32.56,3.7
53,18.012312,-7.68,140.13,4.6,-23.54,20.56,11.59,35.13,-23.23,-11.99,7.89,-4.89,-2.82,1.09,-0.14,1.19,98983.0,19.84,32.56,3.7
54,18.346312,-4.95,133.22,-7.47,-42.84,4.72,-36.48,37.77,-24.89,-12.93,7.88,-5.25,-2.9,1.46,-1.85,-1.08,98977.0,19.84,32.62,3.7
55,18.676312,-0.57,111.82,-21.94,-17.82,36.58,-74.63,40.4,-26.61,-13.89,7.86,-5.22,-2.84,-3.11,-1.36,0.61,98977.0,19.84,32.62,3.7
55,18.676312,-0.57,111.82,-21.94,-17.82,36.58,-74.63,40.4,-26.61,-13.89,7.86,-5.22,-2.84,-3.11,-1.36,0.61,98977.0,19.84,32.62,3.7
56,19.006312,-3.22,96.42,-27.33,1.77,4.13,-12.66,42.85,-28.5,-14.87,7.22,-6.13,-3.19,-0.8,-1.95,-1.63,98977.0,19.84,32.62,3.7
56,19.006312,-3.22,96.42,-27.33,1.77,4.13,-12.66,42.85,-28.5,-14.87,7.22,-6.13,-3.19,-0.8,-1.95,-1.63,98977.0,19.84,32.62,3.7
57,19.343312,1.68,91.44,-25.78,-22.41,-3.26,-14.98,45.28,-30.72,-15.98,7.33,-7.12,-3.29,1.21,-3.92,0.01,98977.0,19.84,32.62,3.7
57,19.343312,1.68,91.44,-25.78,-22.41,-3.26,-14.98,45.28,-30.72,-15.98,7.33,-7.12,-3.29,1.21,-3.92,0.01,98977.0,19.84,32.62,3.7
55,18.676312,-0.57,111.82,-21.94,-17.82,36.58,-74.63,40.4,-26.61,-13.89,7.86,-5.22,-2.84,-3.11,-1.36,0.61,98977.0,19.84,32.62,3.7
58,19.681312,-1.02,96.09,-21.82,22.41,-7.95,21.56,47.88,-33.32,-17.18,8.06,-8.15,-3.76,2.46,-2.56,-1.03,98973.0,19.85,32.45,3.7
57,19.343312,1.68,91.44,-25.78,-22.41,-3.26,-14.98,45.28,-30.72,-15.98,7.33,-7.12,-3.29,1.21,-3.92,0.01,98977.0,19.84,32.62,3.7
56,19.006312,-3.22,96.42,-27.33,1.77,4.13,-12.66,42.85,-28.5,-14.87,7.22,-6.13,-3.19,-0.8,-1.95,-1.63,98977.0,19.84,32.62,3.7
55,18.676312,-0.57,111.82,-21.94,-17.82,36.58,-74.63,40.4,-26.61,-13.89,7.86,-5.22,-2.84,-3.11,-1.36,0.61,98977.0,19.84,32.62,3.7
59,20.014313,2.11,105.04,-12.7,23.16,2.12,25.42,50.67,-36.22,-18.47,8.65,-9.24,-4.02,1.85,-3.52,-2.06,98973.0,19.85,32.45,3.7
60,20.340312,-1.78,115.98,3.88,32.61,-1.36,23.41,53.63,-39.37,-19.85,9.61,-9.96,-4.31,3.67,-1.12,0.42,98973.0,19.85,32.45,3.7
61,20.674312,1.07,117.68,14.58,10.85,0.99,3.57,57.03,-42.71,-21.3,10.67,-9.95,-4.43,3.02,1.2,-1.2,98969.0,19.89,32.65,3.7
62,21.004312,-2.76,119.88,20.63,2.81,7.32,17.73,60.73,-45.9,-22.82,11.67,-9.32,-4.7,2.51,2.32,0.12,98969.0,19.89,32.65,3.7
63,21.345312,-4.35,123.43,15.87,9.03,-24.67,18.14,64.78,-48.95,-24.43,11.94,-8.61,-4.82,-0.25,1.85,-2.05,98969.0,19.89,32.65,3.7
64,21.679312,-8.39,132.15,13.04,-20.03,6.25,11.83,68.81,-51.69,-26.12,12.18,-7.82,-5.02,0.05,2.13,0.95,98965.0,19.91,32.63,3.7
65,22.009312,-8.69,132.04,6.54,1.57,-20.65,8.3,72.83,-54.12,-27.8,12.36,-6.94,-5.35,1.98,4.17,-1.82,98965.0,19.91,32.63,3.7
