ID,Timestamp,OrientationX,OrientationY,OrientationZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,PositionX,PositionY,PositionZ,VelocityX,VelocityY,VelocityZ,AccelerationX,AccelerationY,AccelerationZ,Barometer,Thermometer,ThermometerStupido,Voltage
17,5.970312,0.41,179.87,-0.15,2.51,-0.06,-0.4,0.82,-1.6,-0.13,0.29,-0.53,-0.04,-0.01,0.01,-0.03,98697.0,16.28,28.45,3.7
16,5.633312,0.0,179.92,-0.15,-2.31,-0.02,0.57,0.72,-1.42,-0.12,0.28,-0.53,-0.05,0.22,0.12,-0.0,98697.0,16.28,28.45,3.7
15,5.304312,0.12,179.9,-0.1,4.73,-0.17,-0.72,0.63,-1.25,-0.1,0.27,-0.53,-0.04,0.16,-0.16,-0.04,98697.0,16.28,28.45,3.7
18,6.300312,-0.07,179.84,0.08,0.71,0.07,-0.08,0.91,-1.78,-0.15,0.28,-0.53,-0.04,-0.01,0.14,-0.01,98702.0,16.3,28.9,3.7
17,5.970312,0.41,179.87,-0.15,2.51,-0.06,-0.4,0.82,-1.6,-0.13,0.29,-0.53,-0.04,-0.01,0.01,-0.03,98697.0,16.28,28.45,3.7
19,6.639312,0.2,179.75,0.42,3.34,-0.21,-0.35,1.01,-1.96,-0.16,0.28,-0.53,-0.04,-0.11,0.01,-0.01,98702.0,16.3,28.9,3.7
20,6.969312,0.11,179.67,0.56,15.32,-0.61,-2.62,1.1,-2.13,-0.18,0.29,-0.53,-0.05,0.04,-0.1,-0.03,98702.0,16.3,28.9,3.7
21,7.303312,0.1,179.61,0.33,6.17,-0.37,-1.11,1.2,-2.3,-0.19,0.29,-0.52,-0.04,0.13,-0.09,0.09,98698.0,16.33,28.86,3.7
22,7.633312,0.02,179.7,-0.34,-1.39,-0.03,-0.07,1.3,-2.48,-0.21,0.29,-0.52,-0.05,-0.06,0.04,0.01,98698.0,16.33,28.86,3.7
23,7.963312,0.11,179.64,0.06,1.6,0.07,-0.34,1.39,-2.65,-0.22,0.29,-0.52,-0.05,-0.02,-0.03,-0.03,98698.0,16.33,28.86,3.7
24,8.296312,0.28,179.59,0.47,0.16,0.05,0.23,1.49,-2.82,-0.24,0.3,-0.52,-0.05,0.01,-0.01,0.03,98693.0,16.36,28.56,3.7
25,8.637312,-0.19,179.56,0.69,-0.88,0.0,-0.18,1.59,-3.0,-0.25,0.29,-0.52,-0.04,0.0,-0.01,0.03,98693.0,16.36,28.56,3.7
26,8.966312,-0.18,179.57,-0.19,1.64,0.11,-0.27,1.69,-3.17,-0.27,0.3,-0.52,-0.05,-0.05,-0.0,0.02,98693.0,16.36,28.56,3.7
27,9.296312,-0.16,179.53,-0.2,0.4,0.06,0.09,1.79,-3.34,-0.28,0.29,-0.52,-0.05,0.0,-0.0,0.02,98693.0,16.36,28.56,3.7
28,9.630312,0.05,179.57,-0.92,-9.81,0.17,1.84,1.88,-3.52,-0.3,0.3,-0.51,-0.05,0.05,0.06,0.01,98693.0,16.37,28.62,3.7
29,9.971312,-0.14,179.52,-0.03,-4.72,0.3,0.75,1.99,-3.69,-0.31,0.3,-0.52,-0.05,0.05,-0.01,-0.03,98693.0,16.37,28.62,3.7
30,10.301312,0.3,179.5,0.06,11.9,-0.59,-1.63,2.08,-3.86,-0.33,0.3,-0.51,-0.05,-0.02,0.03,0.02,98693.0,16.37,28.62,3.7
