ID,Timestamp,OrientationX,OrientationY,OrientationZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,PositionX,PositionY,PositionZ,VelocityX,VelocityY,VelocityZ,AccelerationX,AccelerationY,AccelerationZ,Barometer,Thermometer,ThermometerStupido,Voltage
247,82.646312,0.03,179.0,-0.09,0.24,-0.04,0.08,26.31,-110.14,-12.41,0.33,-1.39,-0.16,-0.0,0.05,-0.04,98985.0,18.31,32.64,3.7
247,82.646312,0.03,179.0,-0.09,0.24,-0.04,0.08,26.31,-110.14,-12.41,0.33,-1.39,-0.16,-0.0,0.05,-0.04,98985.0,18.31,32.64,3.7
246,82.311312,-0.05,178.99,0.12,-0.24,0.16,0.2,26.2,-109.67,-12.36,0.33,-1.39,-0.16,-0.0,-0.01,-0.03,98985.0,18.31,32.64,3.7
245,81.974312,-0.06,178.98,-0.03,-0.27,-0.11,0.0,26.08,-109.2,-12.31,0.33,-1.39,-0.16,-0.03,0.04,-0.04,98985.0,18.31,32.64,3.7
244,81.641312,-0.02,178.99,0.02,-0.03,-0.13,0.26,25.97,-108.74,-12.25,0.33,-1.39,-0.16,0.0,0.03,0.01,98985.0,18.27,32.77,3.7
248,82.984312,0.04,178.99,-0.22,0.23,0.11,-0.03,26.42,-110.61,-12.47,0.33,-1.39,-0.16,0.01,0.04,0.01,98977.0,18.33,32.75,3.7
247,82.646312,0.03,179.0,-0.09,0.24,-0.04,0.08,26.31,-110.14,-12.41,0.33,-1.39,-0.16,-0.0,0.05,-0.04,98985.0,18.31,32.64,3.7
249,83.312312,0.04,178.98,-0.01,0.23,0.1,-0.02,26.53,-111.06,-12.52,0.33,-1.39,-0.16,-0.02,-0.01,-0.01,98977.0,18.33,32.75,3.7
250,83.641312,-0.05,178.98,-0.07,-0.25,0.06,0.01,26.64,-111.52,-12.57,0.33,-1.39,-0.16,0.04,0.01,-0.02,98977.0,18.33,32.75,3.7
251,83.971312,-0.01,178.98,-0.05,0.13,-0.14,-0.15,26.75,-111.98,-12.62,0.33,-1.39,-0.16,-0.01,-0.02,0.05,98988.0,18.35,32.68,3.7
252,84.305312,-0.05,178.98,0.02,0.04,-0.29,0.19,26.86,-112.44,-12.67,0.33,-1.39,-0.16,-0.01,-0.01,-0.03,98988.0,18.35,32.68,3.7
253,84.646312,-0.11,178.98,0.05,-0.15,-0.15,0.08,26.97,-112.91,-12.73,0.33,-1.39,-0.16,-0.02,-0.01,-0.02,98988.0,18.35,32.68,3.7
254,84.975312,-0.03,178.98,-0.11,-0.07,-0.17,-0.13,27.08,-113.37,-12.78,0.33,-1.39,-0.16,-0.01,0.0,-0.04,98988.0,18.35,32.68,3.7
255,85.309312,0.2,178.97,0.19,0.06,-0.1,-0.13,27.19,-113.83,-12.83,0.33,-1.39,-0.16,0.02,-0.0,-0.02,98979.0,18.37,32.8,3.7
256,85.638312,-0.08,178.97,0.08,-0.01,-0.13,-0.07,27.3,-114.29,-12.88,0.33,-1.39,-0.16,0.01,-0.02,0.02,98979.0,18.37,32.8,3.7
257,85.979312,0.09,178.98,0.07,0.14,-0.1,0.15,27.41,-114.76,-12.94,0.33,-1.39,-0.16,-0.01,-0.0,0.01,98979.0,18.37,32.8,3.7
258,86.311312,0.08,178.98,0.09,0.02,-0.22,0.03,27.52,-115.22,-12.99,0.33,-1.39,-0.16,-0.0,0.0,-0.04,98976.0,18.39,32.77,3.7
259,86.641312,0.15,178.99,-0.08,-0.0,0.02,0.14,27.63,-115.68,-13.04,0.33,-1.39,-0.16,0.01,0.03,0.05,98976.0,18.39,32.77,3.7
260,86.971312,0.12,178.98,0.11,0.01,-0.2,-0.18,27.74,-116.14,-13.09,0.33,-1.39,-0.16,0.0,0.01,0.02,98976.0,18.39,32.77,3.7
261,87.312312,0.1,178.97,0.02,0.13,-0.12,0.06,27.85,-116.61,-13.15,0.33,-1.39,-0.16,0.01,-0.01,-0.01,98976.0,18.39,32.81,3.7
262,87.645312,-0.0,178.97,0.08,0.02,0.13,-0.03,27.96,-117.08,-13.2,0.33,-1.39,-0.16,0.0,-0.01,0.05,98981.0,18.42,32.81,3.7
263,87.974312,0.07,178.98,-0.1,0.16,0.06,0.13,28.07,-117.53,-13.25,0.33,-1.39,-0.16,-0.0,0.01,-0.02,98981.0,18.42,32.81,3.7
264,88.304312,-0.2,178.98,0.07,0.13,-0.14,0.01,28.18,-117.99,-13.3,0.33,-1.39,-0.16,-0.0,-0.0,-0.03,98981.0,18.42,32.81,3.7
265,88.638312,0.0,178.97,0.12,0.09,0.09,-0.04,28.29,-118.45,-13.36,0.33,-1.39,-0.16,-0.0,0.0,-0.01,98983.0,18.43,32.77,3.7
266,88.979312,0.1,178.98,-0.0,-0.06,0.14,0.07,28.4,-118.93,-13.41,0.33,-1.39,-0.16,-0.0,0.03,0.0,98983.0,18.43,32.77,3.7
267,89.309312,0.05,178.99,0.06,0.06,0.12,0.07,28.51,-119.39,-13.46,0.33,-1.39,-0.16,-0.0,-0.02,0.03,98983.0,18.43,32.77,3.7
268,89.642312,-0.18,178.99,-0.01,0.08,-0.07,0.02,28.62,-119.85,-13.52,0.33,-1.39,-0.16,0.0,-0.0,-0.02,98980.0,18.46,32.64,3.7
269,89.972312,0.08,178.98,-0.12,-0.26,0.21,-0.08,28.73,-120.31,-13.57,0.33,-1.39,-0.16,-0.0,-0.0,-0.05,98980.0,18.46,32.64,3.7
270,90.312312,-0.08,178.99,0.01,0.13,0.02,0.03,28.85,-120.78,-13.62,0.33,-1.39,-0.16,0.04,0.03,0.05,98980.0,18.46,32.64,3.7
271,90.642312,0.04,178.99,-0.01,-0.13,-0.02,-0.02,28.96,-121.24,-13.67,0.33,-1.39,-0.16,0.03,-0.0,0.0,98980.0,18.46,32.64,3.7
272,90.977312,-0.05,178.99,0.18,-0.17,0.14,-0.01,29.07,-121.7,-13.73,0.33,-1.39,-0.16,0.0,-0.02,-0.02,98978.0,18.48,32.79,3.7
273,91.306312,0.08,178.99,-0.11,-0.16,-0.07,0.06,29.18,-122.16,-13.78,0.33,-1.39,-0.16,0.01,0.0,-0.01,98978.0,18.48,32.79,3.7
274,91.647312,0.04,178.98,-0.1,0.03,0.02,0.1,29.29,-122.63,-13.83,0.33,-1.39,-0.16,-0.02,0.03,-0.01,98978.0,18.48,32.79,3.7
275,91.980312,0.16,178.99,0.15,0.05,0.06,0.23,29.4,-123.09,-13.89,0.33,-1.39,-0.16,-0.0,0.0,-0.01,98979.0,18.51,33.06,3.7
276,92.309312,0.04,178.99,-0.09,-0.07,0.29,-0.06,29.51,-123.55,-13.94,0.33,-1.39,-0.16,-0.05,-0.03,-0.03,98979.0,18.51,33.06,3.7
277,92.639312,0.01,178.98,0.04,0.08,0.2,0.05,29.62,-124.01,-13.99,0.33,-1.39,-0.16,0.03,-0.0,0.01,98979.0,18.51,33.06,3.7
278,92.973312,-0.12,178.99,-0.02,-0.07,0.19,0.06,29.73,-124.48,-14.04,0.33,-1.39,-0.16,0.05,0.01,0.03,98974.0,18.53,32.92,3.7
279,93.314312,-0.02,179.0,-0.04,0.18,0.05,0.19,29.84,-124.95,-14.1,0.33,-1.39,-0.16,0.06,0.06,0.02,98974.0,18.53,32.92,3.7
280,93.644312,-0.07,179.0,-0.02,-0.05,-0.29,0.04,29.95,-125.41,-14.15,0.33,-1.39,-0.16,-0.01,0.01,0.02,98974.0,18.53,32.92,3.7
281,93.973312,-0.05,178.99,-0.19,-0.04,0.03,0.13,30.06,-125.87,-14.2,0.33,-1.39,-0.16,-0.0,0.01,0.02,98974.0,18.53,32.92,3.7
282,94.308312,0.03,178.98,0.02,0.16,0.11,0.07,30.17,-126.34,-14.25,0.33,-1.39,-0.16,-0.01,-0.03,-0.0,98979.0,18.55,32.95,3.7
283,94.638312,-0.22,178.98,0.08,0.33,0.11,-0.05,30.28,-126.8,-14.31,0.33,-1.39,-0.16,-0.0,0.0,0.01,98979.0,18.55,32.95,3.7
284,94.979312,-0.06,178.98,0.04,-0.06,0.04,-0.06,30.39,-127.27,-14.36,0.33,-1.39,-0.16,-0.0,-0.01,-0.01,98979.0,18.55,32.95,3.7
285,95.312312,0.18,178.98,-0.06,0.12,-0.18,-0.03,30.5,-127.74,-14.41,0.33,-1.39,-0.16,0.02,0.01,0.0,98983.0,18.58,32.78,3.7
286,95.641312,-0.02,178.99,-0.05,0.05,0.24,-0.06,30.61,-128.19,-14.47,0.33,-1.39,-0.16,0.0,0.0,-0.03,98983.0,18.58,32.78,3.7
